;Datetime;bystar1_P;bystar1_Q
120;2024-01-02 06:15:00;0.787684564;-2.427724905
121;2024-01-02 06:30:00;0.79761353;-2.386619498
122;2024-01-02 06:45:00;5.896092043;-2.039466595
123;2024-01-02 07:00:00;6.836686175;-1.326152458
124;2024-01-02 07:15:00;6.88407707;-1.298385732
125;2024-01-02 07:30:00;4.938320949;-1.664334914
126;2024-01-02 07:45:00;7.302036873;-1.534063516
127;2024-01-02 08:00:00;0.798912525;-2.309722492
128;2024-01-02 08:15:00;6.298659123;-0.4558575
129;2024-01-02 08:30:00;12.31598843;-0.070092525
130;2024-01-02 08:45:00;3.911781092;-1.9036057
131;2024-01-02 09:00:00;0.803719649;-2.361956704
132;2024-01-02 09:15:00;3.927512809;-1.975566505
133;2024-01-02 09:30:00;1.67640972;-2.138148079
134;2024-01-02 09:45:00;6.290900775;-1.47456729
135;2024-01-02 10:00:00;5.234704768;-1.08264121
136;2024-01-02 10:15:00;7.478580881;-0.972068967
137;2024-01-02 10:30:00;6.556912708;-1.625104431
138;2024-01-02 10:45:00;3.974598467;-1.208462439
139;2024-01-02 11:00:00;7.551009995;-1.142599752
140;2024-01-02 11:15:00;11.26523275;-0.616437901
141;2024-01-02 11:30:00;11.21586022;-0.619572226
142;2024-01-02 11:45:00;11.15179866;-0.514013577
143;2024-01-02 12:00:00;12.07916005;-0.526154605
144;2024-01-02 12:15:00;11.21162463;-1.275738559
145;2024-01-02 12:30:00;2.946586008;-2.703148827
146;2024-01-02 12:45:00;3.648621143;-1.478343946
147;2024-01-02 13:00:00;1.979004136;-1.498523801
148;2024-01-02 13:15:00;6.19853524;-1.597404083
149;2024-01-02 13:30:00;10.56468644;-2.546285435
150;2024-01-02 13:45:00;11.4047699;-1.756846194
151;2024-01-02 14:00:00;11.25444259;-1.838818386
152;2024-01-02 14:15:00;11.29877206;-1.349079875
153;2024-01-02 14:30:00;11.29038377;-2.600083255
154;2024-01-02 14:45:00;9.934839204;-3.338194638
155;2024-01-02 15:00:00;11.27601622;-5.488698035
156;2024-01-02 15:15:00;8.300760508;-3.39504757
157;2024-01-02 15:30:00;0.843715034;-2.452060381
158;2024-01-02 15:45:00;8.016431651;-0.253105822
159;2024-01-02 16:00:00;13.34436036;-0.157653547
160;2024-01-02 16:15:00;13.26444865;-0.187481856
161;2024-01-02 16:30:00;14.42873099;-0.72792297
162;2024-01-02 16:45:00;7.408643206;-0.817171933
163;2024-01-02 17:00:00;10.05879988;-0.6056716
164;2024-01-02 17:15:00;9.600475548;-0.452719753
165;2024-01-02 17:30:00;13.76316929;-0.364322028
166;2024-01-02 17:45:00;8.911537899;-0.422387
167;2024-01-02 18:00:00;11.79303503;-0.439186852
168;2024-01-02 18:15:00;12.20021493;-2.168437561
169;2024-01-02 18:30:00;7.14889097;-3.267219394
170;2024-01-02 18:45:00;14.13270673;-1.178558814
171;2024-01-02 19:00:00;6.253093305;-1.08792368
172;2024-01-02 19:15:00;6.890430937;-2.506118248
173;2024-01-02 19:30:00;7.850282908;-2.395982514
174;2024-01-02 19:45:00;4.153953679;-3.216579854
175;2024-01-02 20:00:00;5.709415383;-5.094912737
176;2024-01-02 20:15:00;8.953918275;-6.445371138
177;2024-01-02 20:30:00;10.24292037;-7.006044849
178;2024-01-02 20:45:00;7.399601022;-5.579498519
179;2024-01-02 21:00:00;9.420113665;-6.536755531
180;2024-01-02 21:15:00;8.916814236;-6.33800634
181;2024-01-02 21:30:00;10.06265132;-6.883961024
182;2024-01-02 21:45:00;5.747113175;-4.968261095
183;2024-01-02 22:00:00;9.303277112;-6.754931241
184;2024-01-02 22:15:00;5.854386483;-5.026451575
185;2024-01-02 22:30:00;5.932119374;-5.074697621
186;2024-01-02 22:45:00;7.012876763;-5.677229656
187;2024-01-02 23:00:00;7.892033431;-6.160066515
188;2024-01-02 23:15:00;1.050539872;-2.526032981
189;2024-01-02 23:30:00;0.840893506;-2.511126944
190;2024-01-02 23:45:00;0.838226494;-2.507194364
191;2024-01-03 00:00:00;1.353938975;-2.122936021
192;2024-01-03 00:15:00;5.860334601;-0.715670582
193;2024-01-03 00:30:00;5.863710317;-0.748927049
194;2024-01-03 00:45:00;8.232873577;-0.065831023
195;2024-01-03 01:00:00;16.75426889;0.143295346
196;2024-01-03 01:15:00;16.23264367;0.174745238
197;2024-01-03 01:30:00;15.62051033;0.117844264
198;2024-01-03 01:45:00;10.83659994;-0.097317953
199;2024-01-03 02:00:00;0.952224079;-2.542810486
200;2024-01-03 02:15:00;0.954214507;-2.542853481
201;2024-01-03 02:30:00;0.953580489;-2.536391258
202;2024-01-03 02:45:00;0.954029788;-2.531005918
203;2024-01-03 03:00:00;0.954920789;-2.545892648
204;2024-01-03 03:15:00;0.959782568;-2.561300232
205;2024-01-03 03:30:00;1.002104596;-2.532510716
206;2024-01-03 03:45:00;4.764300042;-3.840358467
207;2024-01-03 04:00:00;0.879096781;-2.490899582
208;2024-01-03 04:15:00;6.440277152;-1.118731229
209;2024-01-03 04:30:00;8.71071377;-1.146779309
210;2024-01-03 04:45:00;4.477490336;-0.80592005
211;2024-01-03 05:00:00;6.39584173;-0.633530641
212;2024-01-03 05:15:00;3.226752469;-1.556306215
213;2024-01-03 05:30:00;3.796017938;-1.413832027
214;2024-01-03 05:45:00;3.634032278;-1.40143603
215;2024-01-03 06:00:00;2.326478638;-2.783093633
216;2024-01-03 06:15:00;2.46826603;-2.720166574
217;2024-01-03 06:30:00;2.234819186;-2.840772688
218;2024-01-03 06:45:00;1.945269858;-2.751375314
219;2024-01-03 07:00:00;2.026321748;-2.943026693
220;2024-01-03 07:15:00;1.880771364;-1.987808667
221;2024-01-03 07:30:00;3.284725522;-1.154764534
222;2024-01-03 07:45:00;7.20817998;-0.640419983
223;2024-01-03 08:00:00;0.850108412;-2.251052302
224;2024-01-03 08:15:00;0.802106607;-2.292544357
225;2024-01-03 08:30:00;4.764141813;-0.668304353
226;2024-01-03 08:45:00;1.94420244;-2.220764629
227;2024-01-03 09:00:00;4.667438948;-0.901571658
228;2024-01-03 09:15:00;7.286942373;-0.67811262
229;2024-01-03 09:30:00;10.21554562;-2.62144866
230;2024-01-03 09:45:00;10.29633113;-1.595360094
231;2024-01-03 10:00:00;11.47858352;-4.627779405
232;2024-01-03 10:15:00;9.340332632;-4.809693002
233;2024-01-03 10:30:00;0.834011435;-2.313125626
234;2024-01-03 10:45:00;0.8267413;-2.318264691
235;2024-01-03 11:00:00;0.827688944;-2.324919515
236;2024-01-03 11:15:00;5.121827178;-3.207725708
237;2024-01-03 11:30:00;0.655096224;-2.218718851
238;2024-01-03 11:45:00;4.239602589;-2.701797746
239;2024-01-03 12:00:00;9.449848597;-0.679964348
240;2024-01-03 12:15:00;9.217296959;-0.731053894
241;2024-01-03 12:30:00;9.356432935;-1.358730291
242;2024-01-03 12:45:00;9.187718999;-2.867544498
243;2024-01-03 13:00:00;6.553032487;-1.779668682
244;2024-01-03 13:15:00;9.590169161;-0.00978391
245;2024-01-03 13:30:00;14.51481117;0
246;2024-01-03 13:45:00;12.19168242;0
247;2024-01-03 14:00:00;9.069846166;0
248;2024-01-03 14:15:00;15.37677939;0
249;2024-01-03 14:30:00;15.35459565;0
250;2024-01-03 14:45:00;13.06684234;0
251;2024-01-03 15:00:00;5.969361432;0
252;2024-01-03 15:15:00;6.123888853;0
253;2024-01-03 15:30:00;5.17069202;0
254;2024-01-03 15:45:00;8.705587932;0
255;2024-01-03 16:00:00;12.33171375;0
256;2024-01-03 16:15:00;10.72801117;0
257;2024-01-03 16:30:00;2.290315407;0
258;2024-01-03 16:45:00;14.37711385;0
259;2024-01-03 17:00:00;15.25535772;0
260;2024-01-03 17:15:00;9.092601813;0
261;2024-01-03 17:30:00;20.36214053;0
262;2024-01-03 17:45:00;8.130435954;0
263;2024-01-03 18:00:00;10.03161341;0
264;2024-01-03 18:15:00;4.881238449;0
265;2024-01-03 18:30:00;5.835799188;0
266;2024-01-03 18:45:00;15.18043311;0
267;2024-01-03 19:00:00;11.74719552;0
268;2024-01-03 19:15:00;15.06375245;0
269;2024-01-03 19:30:00;14.28715058;0
270;2024-01-03 19:45:00;7.818319754;0
271;2024-01-03 20:00:00;12.76418645;0
272;2024-01-03 20:15:00;6.896319935;0
273;2024-01-03 20:30:00;4.883083178;0
274;2024-01-03 20:45:00;10.25958685;0
275;2024-01-03 21:00:00;9.354160811;0
276;2024-01-03 21:15:00;17.34179095;0
277;2024-01-03 21:30:00;17.81506695;0
278;2024-01-03 21:45:00;14.67914558;0
279;2024-01-03 22:00:00;19.82636225;0
280;2024-01-03 22:15:00;19.8253281;0
281;2024-01-03 22:30:00;19.09337041;0
282;2024-01-03 22:45:00;13.83740254;0
283;2024-01-03 23:00:00;15.63740632;0
284;2024-01-03 23:15:00;17.89277633;0
285;2024-01-03 23:30:00;18.21318651;0
286;2024-01-03 23:45:00;19.35472916;0
287;2024-01-04 00:00:00;11.53133987;0
288;2024-01-04 00:15:00;5.293861336;0
289;2024-01-04 00:30:00;12.57549993;0
290;2024-01-04 00:45:00;13.62101611;0
291;2024-01-04 01:00:00;6.1715339;0
292;2024-01-04 01:15:00;6.184553181;0
293;2024-01-04 01:30:00;5.494085956;0
294;2024-01-04 01:45:00;18.96419449;0
295;2024-01-04 02:00:00;1.387795234;0
296;2024-01-04 02:15:00;1.445382505;0
297;2024-01-04 02:30:00;1.434701451;0
298;2024-01-04 02:45:00;10.26662052;0
299;2024-01-04 03:00:00;14.19158038;0
300;2024-01-04 03:15:00;11.58874878;0
301;2024-01-04 03:30:00;11.04200003;0
302;2024-01-04 03:45:00;11.45371425;0
303;2024-01-04 04:00:00;14.47906146;0
304;2024-01-04 04:15:00;20.05028237;0
305;2024-01-04 04:30:00;10.71718725;0
306;2024-01-04 04:45:00;7.437685416;0
307;2024-01-04 05:00:00;17.09397852;0
308;2024-01-04 05:15:00;6.395840354;0
309;2024-01-04 05:30:00;6.972567126;0
310;2024-01-04 05:45:00;10.44433454;0
311;2024-01-04 06:00:00;6.528049069;0
312;2024-01-04 06:15:00;5.365875639;0
313;2024-01-04 06:30:00;1.366561869;0
314;2024-01-04 06:45:00;1.171467277;0
315;2024-01-04 07:00:00;3.477688023;0
316;2024-01-04 07:15:00;7.402515943;0
317;2024-01-04 07:30:00;9.056409479;0
318;2024-01-04 07:45:00;1.389625938;0
319;2024-01-04 08:00:00;2.53894188;0
320;2024-01-04 08:15:00;2.877896496;0
321;2024-01-04 08:30:00;9.321764119;0
322;2024-01-04 08:45:00;1.396246545;0
323;2024-01-04 09:00:00;11.97604081;0
324;2024-01-04 09:15:00;15.69385857;0
325;2024-01-04 09:30:00;12.67944867;0
326;2024-01-04 09:45:00;9.260896225;0
327;2024-01-04 10:00:00;12.86463937;0
328;2024-01-04 10:15:00;16.89042218;0
329;2024-01-04 10:30:00;7.168907908;0
330;2024-01-04 10:45:00;15.79856652;0
331;2024-01-04 11:00:00;16.77306508;0
332;2024-01-04 11:15:00;17.30400517;0
333;2024-01-04 11:30:00;16.84287663;0
334;2024-01-04 11:45:00;11.27691861;0
335;2024-01-04 12:00:00;9.921244307;0
336;2024-01-04 12:15:00;8.217965664;0
337;2024-01-04 12:30:00;14.74293062;0
338;2024-01-04 12:45:00;13.12922337;0
339;2024-01-04 13:00:00;12.51974506;0
340;2024-01-04 13:15:00;8.547619702;0
341;2024-01-04 13:30:00;14.23811998;0
342;2024-01-04 13:45:00;11.1287022;0
343;2024-01-04 14:00:00;16.01204958;0
344;2024-01-04 14:15:00;10.5726313;0
345;2024-01-04 14:30:00;8.282869529;0
346;2024-01-04 14:45:00;5.611479675;0
347;2024-01-04 15:00:00;4.026925617;0
348;2024-01-04 15:15:00;4.193726957;0
349;2024-01-04 15:30:00;9.401306813;0
350;2024-01-04 15:45:00;18.14847881;0
351;2024-01-04 16:00:00;17.5341428;0
352;2024-01-04 16:15:00;5.451772691;0
353;2024-01-04 16:30:00;1.311452083;0
354;2024-01-04 16:45:00;1.292135365;0
355;2024-01-04 17:00:00;5.454182013;0
356;2024-01-04 17:15:00;5.132686962;0
357;2024-01-04 17:30:00;2.158267721;0
358;2024-01-04 17:45:00;7.285673153;0
359;2024-01-04 18:00:00;1.709198533;0
360;2024-01-04 18:15:00;13.31625671;0
361;2024-01-04 18:30:00;14.6911995;0
362;2024-01-04 18:45:00;14.79533084;0
363;2024-01-04 19:00:00;15.95149191;0
364;2024-01-04 19:15:00;12.39770856;0
365;2024-01-04 19:30:00;12.98259602;0
366;2024-01-04 19:45:00;16.77605297;0
367;2024-01-04 20:00:00;16.59493397;0
368;2024-01-04 20:15:00;16.63784396;0
369;2024-01-04 20:30:00;10.56043485;0
370;2024-01-04 20:45:00;5.453892852;0
371;2024-01-04 21:00:00;10.80604007;0
372;2024-01-04 21:15:00;23.12072997;0
373;2024-01-04 21:30:00;23.05276048;0
374;2024-01-04 21:45:00;23.64014641;0
375;2024-01-04 22:00:00;23.72329385;0
376;2024-01-04 22:15:00;14.04741511;0
377;2024-01-04 22:30:00;22.70299103;0
378;2024-01-04 22:45:00;22.58619894;0
379;2024-01-04 23:00:00;23.20328367;0
380;2024-01-04 23:15:00;22.80773919;0
381;2024-01-04 23:30:00;20.70570374;0
382;2024-01-04 23:45:00;22.51917184;0
383;2024-01-05 00:00:00;22.52943285;0
384;2024-01-05 00:15:00;23.07919896;0
385;2024-01-05 00:30:00;22.77153503;0
386;2024-01-05 00:45:00;20.49885779;0
387;2024-01-05 01:00:00;18.70516308;0
388;2024-01-05 01:15:00;23.60341648;0
389;2024-01-05 01:30:00;22.14582642;0
390;2024-01-05 01:45:00;23.99287691;0
391;2024-01-05 02:00:00;24.16458563;0
392;2024-01-05 02:15:00;4.395736994;0
393;2024-01-05 02:30:00;4.454316617;0
394;2024-01-05 02:45:00;24.29131015;0
395;2024-01-05 03:00:00;4.74525078;0
396;2024-01-05 03:15:00;16.83722404;0
397;2024-01-05 03:30:00;13.69007101;0
398;2024-01-05 03:45:00;17.61260799;0
399;2024-01-05 04:00:00;16.86108012;0
400;2024-01-05 04:15:00;15.16301174;0
401;2024-01-05 04:30:00;15.20110301;0
402;2024-01-05 04:45:00;8.26783715;0
403;2024-01-05 05:00:00;11.33739516;0
404;2024-01-05 05:15:00;15.23396577;0
405;2024-01-05 05:30:00;12.86366619;0
406;2024-01-05 05:45:00;13.1100412;0
407;2024-01-05 06:00:00;20.5037847;0
408;2024-01-05 06:15:00;20.20988322;0
409;2024-01-05 06:30:00;20.29258674;0
410;2024-01-05 06:45:00;20.86968046;0
411;2024-01-05 07:00:00;18.21955403;0
412;2024-01-05 07:15:00;20.91761156;0
413;2024-01-05 07:30:00;5.065404093;0
414;2024-01-05 07:45:00;4.349475952;0
415;2024-01-05 08:00:00;4.348664457;0
416;2024-01-05 08:15:00;4.342572304;0
417;2024-01-05 08:30:00;4.406310988;0
418;2024-01-05 08:45:00;18.31296892;0
419;2024-01-05 09:00:00;12.80349474;0
420;2024-01-05 09:15:00;4.332868836;0
421;2024-01-05 09:30:00;10.70499507;0
422;2024-01-05 09:45:00;4.391863393;0
423;2024-01-05 10:00:00;7.30672107;0
424;2024-01-05 10:15:00;17.08698134;0
425;2024-01-05 10:30:00;15.08718699;0
426;2024-01-05 10:45:00;18.66125286;0
427;2024-01-05 11:00:00;18.37745689;0
428;2024-01-05 11:15:00;12.16608632;0
429;2024-01-05 11:30:00;15.76153373;0
430;2024-01-05 11:45:00;17.32917566;0
431;2024-01-05 12:00:00;18.15421789;0
432;2024-01-05 12:15:00;5.559290783;0
433;2024-01-05 12:30:00;4.486624885;0
434;2024-01-05 12:45:00;18.58722793;0
435;2024-01-05 13:00:00;4.849566155;0
436;2024-01-05 13:15:00;4.890350424;0
437;2024-01-05 13:30:00;4.487812006;0
438;2024-01-05 13:45:00;8.261287871;0
439;2024-01-05 14:00:00;5.757855045;0
440;2024-01-05 14:15:00;5.036041368;0
441;2024-01-05 14:30:00;5.077156982;0
442;2024-01-05 14:45:00;4.393009257;0
443;2024-01-05 15:00:00;11.52054006;0
444;2024-01-05 15:15:00;20.18971631;0
445;2024-01-05 15:30:00;14.92616131;0
446;2024-01-05 15:45:00;14.41786949;0
447;2024-01-05 16:00:00;17.75424736;0
448;2024-01-05 16:15:00;4.331009343;0
449;2024-01-05 16:30:00;10.49037574;0
450;2024-01-05 16:45:00;4.397904456;0
451;2024-01-05 17:00:00;5.631615628;0
452;2024-01-05 17:15:00;7.443381525;0
453;2024-01-05 17:30:00;12.41465545;0
454;2024-01-05 17:45:00;11.7246451;0
455;2024-01-05 18:00:00;11.5915334;0
456;2024-01-05 18:15:00;19.63444193;0
457;2024-01-05 18:30:00;5.698818078;0
458;2024-01-05 18:45:00;11.39771521;0
459;2024-01-05 19:00:00;19.83049123;0
460;2024-01-05 19:15:00;9.789076733;0
461;2024-01-05 19:30:00;18.94550116;0
462;2024-01-05 19:45:00;9.872637617;0
463;2024-01-05 20:00:00;4.360601865;0
464;2024-01-05 20:15:00;10.17398587;0
465;2024-01-05 20:30:00;4.366397181;0
466;2024-01-05 20:45:00;8.681575638;0
467;2024-01-05 21:00:00;10.47200012;0
468;2024-01-05 21:15:00;20.16864112;0
469;2024-01-05 21:30:00;20.10309988;0
470;2024-01-05 21:45:00;20.28225238;0
471;2024-01-05 22:00:00;19.95673868;0
472;2024-01-05 22:15:00;16.95194237;0
473;2024-01-05 22:30:00;20.24417012;0
474;2024-01-05 22:45:00;20.26435194;0
475;2024-01-05 23:00:00;20.00885326;0
476;2024-01-05 23:15:00;17.79787654;0
477;2024-01-05 23:30:00;20.24204081;0
478;2024-01-05 23:45:00;19.91805176;0
479;2024-01-06 00:00:00;20.39969566;0
480;2024-01-06 00:15:00;20.43936388;0
481;2024-01-06 00:30:00;18.22300513;0
482;2024-01-06 00:45:00;19.93500109;0
483;2024-01-06 01:00:00;20.3158905;0
484;2024-01-06 01:15:00;19.48497829;0
485;2024-01-06 01:30:00;18.67571759;0
486;2024-01-06 01:45:00;16.68964291;0
487;2024-01-06 02:00:00;18.63913166;0
488;2024-01-06 02:15:00;18.44575351;0
489;2024-01-06 02:30:00;18.77276846;0
490;2024-01-06 02:45:00;16.72176779;0
491;2024-01-06 03:00:00;18.50965048;0
492;2024-01-06 03:15:00;14.82456869;0
493;2024-01-06 03:30:00;7.846276537;0
494;2024-01-06 03:45:00;6.265269667;0
495;2024-01-06 04:00:00;19.00834108;0
496;2024-01-06 04:15:00;17.88117956;0
497;2024-01-06 04:30:00;2.937261482;0
498;2024-01-06 04:45:00;4.772879455;0
499;2024-01-06 05:00:00;5.727525727;0
500;2024-01-06 05:15:00;6.790644049;0
501;2024-01-06 05:30:00;2.631342598;0
502;2024-01-06 05:45:00;2.65757818;0
503;2024-01-06 06:00:00;17.20873661;0
504;2024-01-06 06:15:00;17.59969668;0
505;2024-01-06 06:30:00;18.91315732;0
506;2024-01-06 06:45:00;18.56309692;0
507;2024-01-06 07:00:00;16.11303399;0
508;2024-01-06 07:15:00;15.08844073;0
509;2024-01-06 07:30:00;18.150334;0
510;2024-01-06 07:45:00;18.58342776;0
511;2024-01-06 08:00:00;18.91822823;0
512;2024-01-06 08:15:00;16.24010629;0
513;2024-01-06 08:30:00;18.22068864;0
514;2024-01-06 08:45:00;18.60521265;0
515;2024-01-06 09:00:00;18.67093102;0
516;2024-01-06 09:15:00;18.79372836;0
517;2024-01-06 09:30:00;14.17246885;0
518;2024-01-06 09:45:00;18.48716958;0
519;2024-01-06 10:00:00;18.96663602;0
520;2024-01-06 10:15:00;18.73253704;0
521;2024-01-06 10:30:00;14.244489;0
522;2024-01-06 10:45:00;15.91422112;0
523;2024-01-06 11:00:00;18.45373114;0
524;2024-01-06 11:15:00;18.93363489;0
525;2024-01-06 11:30:00;18.52467347;0
526;2024-01-06 11:45:00;17.53002358;0
527;2024-01-06 12:00:00;17.76023879;0
528;2024-01-06 12:15:00;18.52863008;0
529;2024-01-06 12:30:00;18.64985268;0
530;2024-01-06 12:45:00;19.04115085;0
531;2024-01-06 13:00:00;3.87768456;0
532;2024-01-06 13:15:00;2.424450095;0
533;2024-01-06 13:30:00;2.849238191;0
534;2024-01-06 13:45:00;6.644659705;0
535;2024-01-06 14:00:00;2.805170538;0
536;2024-01-06 14:15:00;7.941704614;0
537;2024-01-06 14:30:00;14.16884823;0
538;2024-01-06 14:45:00;13.87515766;0
539;2024-01-06 15:00:00;13.96174782;0
540;2024-01-06 15:15:00;13.45953558;0
541;2024-01-06 15:30:00;13.96549654;0
542;2024-01-06 15:45:00;13.52817933;0
543;2024-01-06 16:00:00;13.95118545;0
544;2024-01-06 16:15:00;10.3946601;0
545;2024-01-06 16:30:00;11.01743998;0
546;2024-01-06 16:45:00;12.33392315;0
547;2024-01-06 17:00:00;11.5918879;0
548;2024-01-06 17:15:00;13.44277803;0
549;2024-01-06 17:30:00;13.84392399;0
550;2024-01-06 17:45:00;13.72162803;0
551;2024-01-06 18:00:00;13.73670723;0
552;2024-01-06 18:15:00;13.81272209;0
553;2024-01-06 18:30:00;13.74331956;0
554;2024-01-06 18:45:00;3.587558309;0
555;2024-01-06 19:00:00;10.09575356;0
556;2024-01-06 19:15:00;13.76518592;0
557;2024-01-06 19:30:00;13.81477004;0
558;2024-01-06 19:45:00;13.60734515;0
559;2024-01-06 20:00:00;13.73033582;0
560;2024-01-06 20:15:00;13.18895451;0
561;2024-01-06 20:30:00;13.64722275;0
562;2024-01-06 20:45:00;11.40748067;0
563;2024-01-06 21:00:00;2.959706746;0
564;2024-01-06 21:15:00;15.82574569;0
565;2024-01-06 21:30:00;15.29838046;0
566;2024-01-06 21:45:00;14.7149832;0
567;2024-01-06 22:00:00;11.62227793;0
568;2024-01-06 22:15:00;1.598785175;0
569;2024-01-06 22:30:00;1.596556308;0
570;2024-01-06 22:45:00;1.598685019;0
571;2024-01-06 23:00:00;1.594982921;0
572;2024-01-06 23:15:00;1.603473755;0
573;2024-01-06 23:30:00;1.603445679;0
574;2024-01-06 23:45:00;1.603462528;0
575;2024-01-07 00:00:00;1.603448334;0
576;2024-01-07 00:15:00;1.603448433;0
577;2024-01-07 00:30:00;1.603439549;0
578;2024-01-07 00:45:00;1.603452073;0
