nv;Datetime;sg3_P;sg3_Q;sg3_Ep;sg3_Eq
0;2024-01-01 00:15:00;5.852252022;0;0;0
1;2024-01-01 00:30:00;4.597335406;0;1.306198429;0
2;2024-01-01 00:45:00;7.098007022;0;1.461917803;0
3;2024-01-01 01:00:00;5.085350893;0;1.522919739;0
4;2024-01-01 01:15:00;4.828077722;0;1.239178577;0
5;2024-01-01 01:30:00;5.952227052;0;1.347538097;0
6;2024-01-01 01:45:00;4.665938286;0;1.327270667;0
7;2024-01-01 02:00:00;7.667195121;0;1.541641676;0
8;2024-01-01 02:15:00;4.858753308;0;1.565743554;0
9;2024-01-01 02:30:00;5.009910454;0;1.23358297;0
10;2024-01-01 02:45:00;5.758040063;0;1.345993815;0
11;2024-01-01 03:00:00;5.151240688;0;1.363660094;0
12;2024-01-01 03:15:00;6.289626782;0;1.430108434;0
13;2024-01-01 03:30:00;5.775574742;0;1.50815019;0
14;2024-01-01 03:45:00;4.676818659;0;1.306549175;0
15;2024-01-01 04:00:00;5.795949859;0;1.309096065;0
16;2024-01-01 04:15:00;4.908224575;0;1.338021804;0
17;2024-01-01 04:30:00;6.247703446;0;1.394491003;0
18;2024-01-01 04:45:00;6.437253437;0;1.58561961;0
19;2024-01-01 05:00:00;4.61077489;0;1.381003541;0
20;2024-01-01 05:15:00;4.668940914;0;1.159964475;0
21;2024-01-01 05:30:00;6.095647923;0;1.345573605;0
22;2024-01-01 05:45:00;4.928965592;0;1.378076689;0
23;2024-01-01 06:00:00;6.74550226;0;1.459308481;0
24;2024-01-01 06:15:00;5.043869148;0;1.473671426;0
25;2024-01-01 06:30:00;5.348385127;0;1.299031784;0
26;2024-01-01 06:45:00;4.700971407;0;1.256169567;0
27;2024-01-01 07:00:00;5.961885916;0;1.332857165;0
28;2024-01-01 07:15:00;6.150114075;0;1.513999999;0
29;2024-01-01 07:30:00;4.881416256;0;1.378941291;0
30;2024-01-01 07:45:00;5.883139486;0;1.345569468;0
31;2024-01-01 08:00:00;4.561970962;0;1.305638806;0
32;2024-01-01 08:15:00;5.601682766;0;1.270456716;0
33;2024-01-01 08:30:00;5.787290104;0;1.423621609;0
34;2024-01-01 08:45:00;5.590765314;0;1.422256927;0
35;2024-01-01 09:00:00;4.476817481;0;1.258447849;0
36;2024-01-01 09:15:00;5.629384829;0;1.263275289;0
37;2024-01-01 09:30:00;4.677420501;0;1.288350666;0
38;2024-01-01 09:45:00;6.021938374;0;1.337419859;0
39;2024-01-01 10:00:00;6.474426987;0;1.56204567;0
40;2024-01-01 10:15:00;4.590097786;0;1.383065597;0
41;2024-01-01 10:30:00;5.096194498;0;1.210786536;0
42;2024-01-01 10:45:00;5.232697845;0;1.291111543;0
43;2024-01-01 11:00:00;4.717260845;0;1.243744836;0
44;2024-01-01 11:15:00;6.988169845;0;1.463178836;0
45;2024-01-01 11:30:00;4.483620613;0;1.433973807;0
46;2024-01-01 11:45:00;5.48950533;0;1.246640743;0
47;2024-01-01 12:00:00;4.665353521;0;1.269357356;0
48;2024-01-01 12:15:00;4.957840952;0;1.202899309;0
49;2024-01-01 12:30:00;6.53411589;0;1.436494605;0
50;2024-01-01 12:45:00;4.656020615;0;1.398767063;0
51;2024-01-01 13:00:00;5.671641843;0;1.290957807;0
52;2024-01-01 13:15:00;4.502015059;0;1.271707113;0
53;2024-01-01 13:30:00;5.237022835;0;1.217379737;0
54;2024-01-01 13:45:00;6.526476124;0;1.47043737;0
55;2024-01-01 14:00:00;4.531732748;0;1.382276109;0
56;2024-01-01 14:15:00;5.877196434;0;1.301116148;0
57;2024-01-01 14:30:00;4.652485695;0;1.316210266;0
58;2024-01-01 14:45:00;5.700866616;0;1.294169039;0
59;2024-01-01 15:00:00;5.667967015;0;1.421104204;0
60;2024-01-01 15:15:00;4.831108701;0;1.312384464;0
61;2024-01-01 15:30:00;5.488071766;0;1.289897558;0
62;2024-01-01 15:45:00;4.556608423;0;1.255585024;0
63;2024-01-01 16:00:00;7.183184448;0;1.467474109;0
64;2024-01-01 16:15:00;4.826881846;0;1.501258287;0
65;2024-01-01 16:30:00;5.132555354;0;1.24492965;0
66;2024-01-01 16:45:00;5.219908693;0;1.294058006;0
67;2024-01-01 17:00:00;4.735006048;0;1.244364343;0
68;2024-01-01 17:15:00;6.75372749;0;1.436091692;0
69;2024-01-01 17:30:00;5.258944137;0;1.501583953;0
70;2024-01-01 17:45:00;4.959042104;0;1.27724828;0
71;2024-01-01 18:00:00;4.93110909;0;1.236268899;0
