nv;Datetime;MS_P;MS_Q;MS_Ep;MS_Eq
89;2024-01-01 22:30:00;45.81662241;0;12.15058526;0
90;2024-01-01 22:45:00;47.91734897;0;11.71674642;0
91;2024-01-01 23:00:00;51.44051788;0;12.41973336;0
92;2024-01-01 23:15:00;44.95625468;0;12.04959657;0
93;2024-01-01 23:30:00;49.2254927;0;11.77271842;0
94;2024-01-01 23:45:00;34.92737459;0;10.51910841;0
95;2024-01-02 00:00:00;44.88189809;0;9.976159086;0
96;2024-01-02 00:15:00;49.69304689;0;11.82186812;0
97;2024-01-02 00:30:00;31.84769226;0;10.19259239;0
98;2024-01-02 00:45:00;44.61797157;0;9.558207979;0
99;2024-01-02 01:00:00;46.69193202;0;11.41373795;0
100;2024-01-02 01:15:00;35.11785491;0;10.22622337;0
101;2024-01-02 01:30:00;44.47092916;0;9.948598009;0
102;2024-01-02 01:45:00;46.27397441;0;11.34311295;0
103;2024-01-02 02:00:00;50.90420652;0;12.14727262;0
104;2024-01-02 02:15:00;52.67165648;0;12.94698288;0
105;2024-01-02 02:30:00;58.12960385;0;13.85015754;0
106;2024-01-02 02:45:00;33.046725;0;11.39704111;0
107;2024-01-02 03:00:00;38.63083774;0;8.959695343;0
108;2024-01-02 03:15:00;48.04577458;0;10.83457654;0
109;2024-01-02 03:30:00;37.38512204;0;10.67886208;0
110;2024-01-02 03:45:00;35.09110319;0;9.059528154;0
111;2024-01-02 04:00:00;54.87267909;0;11.24547279;0
112;2024-01-02 04:15:00;58.03847988;0;14.11389487;0
113;2024-01-02 04:30:00;47.01992593;0;13.13230073;0
114;2024-01-02 04:45:00;59.08838314;0;13.26353863;0
115;2024-01-02 05:00:00;46.55137394;0;13.20496963;0
116;2024-01-02 05:15:00;32.22981114;0;9.847648135;0
117;2024-01-02 05:30:00;41.1797988;0;9.176201243;0
118;2024-01-02 05:45:00;52.59838695;0;11.72227322;0
119;2024-01-02 06:00:00;54.54400027;0;13.3927984;0
120;2024-01-02 06:15:00;101.8890295;0;19.55412872;0
121;2024-01-02 06:30:00;146.1932617;0;31.01028641;0
122;2024-01-02 06:45:00;154.7864582;0;37.62246499;0
123;2024-01-02 07:00:00;149.0792505;0;37.98321358;0
124;2024-01-02 07:15:00;146.46113;0;36.94254756;0
125;2024-01-02 07:30:00;156.3786468;0;37.85497211;0
126;2024-01-02 07:45:00;163.6003172;0;39.9973705;0
127;2024-01-02 08:00:00;160.5478698;0;40.51852337;0
128;2024-01-02 08:15:00;194.3546787;0;44.36281856;0
129;2024-01-02 08:30:00;211.1283815;0;50.68538253;0
130;2024-01-02 08:45:00;183.4132956;0;49.31770963;0
131;2024-01-02 09:00:00;196.1782354;0;47.44894137;0
132;2024-01-02 09:15:00;211.4709813;0;50.95615208;0
133;2024-01-02 09:30:00;197.8183941;0;51.16117193;0
134;2024-01-02 09:45:00;203.566852;0;50.17315577;0
135;2024-01-02 10:00:00;177.9290536;0;47.6869882;0
136;2024-01-02 10:15:00;188.4617565;0;45.79885126;0
137;2024-01-02 10:30:00;163.8725921;0;44.04179358;0
138;2024-01-02 10:45:00;169.1263363;0;41.62486606;0
139;2024-01-02 11:00:00;179.0304809;0;43.51960216;0
140;2024-01-02 11:15:00;190.7698242;0;46.22503814;0
141;2024-01-02 11:30:00;176.1945987;0;45.87055286;0
142;2024-01-02 11:45:00;177.3943449;0;44.19861796;0
143;2024-01-02 12:00:00;185.7981488;0;45.39906171;0
144;2024-01-02 12:15:00;178.7210865;0;45.56490441;0
145;2024-01-02 12:30:00;151.8929908;0;41.32675966;0
146;2024-01-02 12:45:00;141.8398298;0;36.71660258;0
147;2024-01-02 13:00:00;141.4225767;0;35.40780082;0
148;2024-01-02 13:15:00;160.5375364;0;37.74501414;0
149;2024-01-02 13:30:00;156.7432602;0;39.66009958;0
150;2024-01-02 13:45:00;170.5678113;0;40.91388394;0
151;2024-01-02 14:00:00;168.6144061;0;42.39777718;0
152;2024-01-02 14:15:00;177.0384738;0;43.20660999;0
153;2024-01-02 14:30:00;182.5008794;0;44.94241915;0
154;2024-01-02 14:45:00;144.7707383;0;40.90895221;0
155;2024-01-02 15:00:00;136.5765375;0;35.16840948;0
156;2024-01-02 15:15:00;138.0464751;0;34.32787658;0
157;2024-01-02 15:30:00;104.7306779;0;30.34714413;0
158;2024-01-02 15:45:00;130.3114652;0;29.38026788;0
159;2024-01-02 16:00:00;152.9189436;0;35.4038011;0
160;2024-01-02 16:15:00;157.6947114;0;38.82670688;0
161;2024-01-02 16:30:00;114.2559863;0;33.99383722;0
162;2024-01-02 16:45:00;112.4024523;0;28.33230483;0
163;2024-01-02 17:00:00;138.2673338;0;31.33372327;0
164;2024-01-02 17:15:00;111.6682631;0;31.24194961;0
165;2024-01-02 17:30:00;124.9508261;0;29.57738615;0
166;2024-01-02 17:45:00;126.8077774;0;31.46982544;0
167;2024-01-02 18:00:00;137.8715902;0;33.08492094;0
168;2024-01-02 18:15:00;133.8051876;0;33.95959722;0
169;2024-01-02 18:30:00;102.7214272;0;29.56582684;0
