;Datetime;sg1_P;sg1_Q
0;2024-01-01 00:15:00;7.129474958;0
1;2024-01-01 00:30:00;6.456810132;0
2;2024-01-01 00:45:00;5.537968421;0
3;2024-01-01 01:00:00;5.447631027;0
4;2024-01-01 01:15:00;5.543981505;0
5;2024-01-01 01:30:00;5.575548081;0
6;2024-01-01 01:45:00;6.077613011;0
7;2024-01-01 02:00:00;5.529153476;0
8;2024-01-01 02:15:00;5.689865905;0
9;2024-01-01 02:30:00;5.846764436;0
10;2024-01-01 02:45:00;5.769152845;0
11;2024-01-01 03:00:00;5.743268109;0
12;2024-01-01 03:15:00;5.753407832;0
13;2024-01-01 03:30:00;5.683923112;0
14;2024-01-01 03:45:00;5.610275076;0
15;2024-01-01 04:00:00;5.740946432;0
16;2024-01-01 04:15:00;5.997266914;0
17;2024-01-01 04:30:00;5.708667643;0
18;2024-01-01 04:45:00;5.9602251;0
19;2024-01-01 05:00:00;6.054946064;0
20;2024-01-01 05:15:00;6.031268473;0
21;2024-01-01 05:30:00;5.702606651;0
22;2024-01-01 05:45:00;9.664796612;0
23;2024-01-01 06:00:00;10.6037518;0
24;2024-01-01 06:15:00;10.20586289;0
25;2024-01-01 06:30:00;10.16683906;0
26;2024-01-01 06:45:00;10.56104531;0
27;2024-01-01 07:00:00;10.45076184;0
28;2024-01-01 07:15:00;10.31350861;0
29;2024-01-01 07:30:00;10.35986701;0
30;2024-01-01 07:45:00;10.0555798;0
31;2024-01-01 08:00:00;8.901716725;0
32;2024-01-01 08:15:00;7.937492108;0
33;2024-01-01 08:30:00;7.883163136;0
34;2024-01-01 08:45:00;7.756018826;0
35;2024-01-01 09:00:00;7.814923683;0
36;2024-01-01 09:15:00;7.916327718;0
37;2024-01-01 09:30:00;7.809848201;0
38;2024-01-01 09:45:00;7.83586463;0
39;2024-01-01 10:00:00;7.723298432;0
40;2024-01-01 10:15:00;7.709307506;0
41;2024-01-01 10:30:00;7.716673481;0
42;2024-01-01 10:45:00;7.736597517;0
43;2024-01-01 11:00:00;7.601893923;0
44;2024-01-01 11:15:00;7.761317355;0
45;2024-01-01 11:30:00;7.675456202;0
46;2024-01-01 11:45:00;7.641952424;0
47;2024-01-01 12:00:00;8.139955419;0
48;2024-01-01 12:15:00;7.702181725;0
49;2024-01-01 12:30:00;7.704030848;0
50;2024-01-01 12:45:00;7.868728863;0
51;2024-01-01 13:00:00;7.420889378;0
52;2024-01-01 13:15:00;7.520333622;0
53;2024-01-01 13:30:00;7.814932957;0
54;2024-01-01 13:45:00;7.680495182;0
55;2024-01-01 14:00:00;7.59785231;0
56;2024-01-01 14:15:00;7.74667509;0
57;2024-01-01 14:30:00;7.565464518;0
58;2024-01-01 14:45:00;7.859562582;0
59;2024-01-01 15:00:00;7.816317939;0
60;2024-01-01 15:15:00;7.802855754;0
61;2024-01-01 15:30:00;7.825306882;0
62;2024-01-01 15:45:00;7.853788531;0
63;2024-01-01 16:00:00;7.648000953;0
64;2024-01-01 16:15:00;7.689143985;0
65;2024-01-01 16:30:00;7.677279328;0
66;2024-01-01 16:45:00;7.5663408;0
67;2024-01-01 17:00:00;7.597985845;0
68;2024-01-01 17:15:00;7.989415458;0
69;2024-01-01 17:30:00;7.561145504;0
70;2024-01-01 17:45:00;8.136798269;0
71;2024-01-01 18:00:00;8.430899336;0
72;2024-01-01 18:15:00;8.514419352;0
73;2024-01-01 18:30:00;8.592233294;0
74;2024-01-01 18:45:00;8.77404259;0
75;2024-01-01 19:00:00;8.743659512;0
76;2024-01-01 19:15:00;8.688515144;0
77;2024-01-01 19:30:00;8.653682934;0
78;2024-01-01 19:45:00;8.655419668;0
79;2024-01-01 20:00:00;8.627577975;0
80;2024-01-01 20:15:00;7.339020188;0
81;2024-01-01 20:30:00;6.903221505;0
82;2024-01-01 20:45:00;6.889508221;0
83;2024-01-01 21:00:00;6.439143588;0
84;2024-01-01 21:15:00;5.382711764;0
85;2024-01-01 21:30:00;5.51310012;0
86;2024-01-01 21:45:00;5.549511337;0
87;2024-01-01 22:00:00;5.55076583;0
88;2024-01-01 22:15:00;6.04374323;0
89;2024-01-01 22:30:00;5.809292852;0
90;2024-01-01 22:45:00;5.745803035;0
91;2024-01-01 23:00:00;5.701121384;0
92;2024-01-01 23:15:00;5.824766047;0
93;2024-01-01 23:30:00;5.803531866;0
94;2024-01-01 23:45:00;5.683808112;0
95;2024-01-02 00:00:00;5.874352509;0
96;2024-01-02 00:15:00;5.796431769;0
97;2024-01-02 00:30:00;5.922221141;0
98;2024-01-02 00:45:00;5.915489165;0
99;2024-01-02 01:00:00;5.905298656;0
100;2024-01-02 01:15:00;5.720451198;0
101;2024-01-02 01:30:00;5.783206838;0
102;2024-01-02 01:45:00;5.876055926;0
103;2024-01-02 02:00:00;5.9961929;0
104;2024-01-02 02:15:00;5.881706875;0
105;2024-01-02 02:30:00;5.960973815;0
106;2024-01-02 02:45:00;6.148137494;0
107;2024-01-02 03:00:00;5.917316892;0
108;2024-01-02 03:15:00;6.400503126;0
109;2024-01-02 03:30:00;6.226395819;0
110;2024-01-02 03:45:00;6.235955313;0
111;2024-01-02 04:00:00;6.176835532;0
112;2024-01-02 04:15:00;6.222616764;0
113;2024-01-02 04:30:00;6.159586489;0
114;2024-01-02 04:45:00;6.214514304;0
115;2024-01-02 05:00:00;6.357322136;0
116;2024-01-02 05:15:00;6.526415412;0
117;2024-01-02 05:30:00;6.901248043;0
118;2024-01-02 05:45:00;10.24602983;0
119;2024-01-02 06:00:00;18.35156024;0
120;2024-01-02 06:15:00;55.3669913;0
121;2024-01-02 06:30:00;88.48329634;0
122;2024-01-02 06:45:00;110.7197219;0
123;2024-01-02 07:00:00;116.1894716;0
124;2024-01-02 07:15:00;105.3971545;0
125;2024-01-02 07:30:00;107.7576646;0
126;2024-01-02 07:45:00;118.3260635;0
127;2024-01-02 08:00:00;97.9095576;0
128;2024-01-02 08:15:00;105.9227814;0
129;2024-01-02 08:30:00;129.3031871;0
130;2024-01-02 08:45:00;98.63135846;0
131;2024-01-02 09:00:00;88.49869503;0
132;2024-01-02 09:15:00;94.25975105;0
133;2024-01-02 09:30:00;93.89598978;0
134;2024-01-02 09:45:00;105.0817618;0
135;2024-01-02 10:00:00;91.52187202;0
136;2024-01-02 10:15:00;92.76129057;0
137;2024-01-02 10:30:00;87.67720846;0
138;2024-01-02 10:45:00;89.66374549;0
139;2024-01-02 11:00:00;93.76486472;0
140;2024-01-02 11:15:00;107.2267447;0
141;2024-01-02 11:30:00;105.000071;0
142;2024-01-02 11:45:00;109.8056088;0
143;2024-01-02 12:00:00;109.6841348;0
144;2024-01-02 12:15:00;104.6849041;0
145;2024-01-02 12:30:00;99.98937124;0
146;2024-01-02 12:45:00;96.35587731;0
147;2024-01-02 13:00:00;99.0200053;0
148;2024-01-02 13:15:00;97.0667218;0
149;2024-01-02 13:30:00;108.6157632;0
150;2024-01-02 13:45:00;103.4879965;0
151;2024-01-02 14:00:00;102.4818833;0
152;2024-01-02 14:15:00;96.59186074;0
153;2024-01-02 14:30:00;100.819938;0
154;2024-01-02 14:45:00;86.61872796;0
155;2024-01-02 15:00:00;87.63760282;0
156;2024-01-02 15:15:00;82.59066725;0
157;2024-01-02 15:30:00;61.12677979;0
158;2024-01-02 15:45:00;79.74101424;0
159;2024-01-02 16:00:00;98.43841154;0
160;2024-01-02 16:15:00;101.9989484;0
161;2024-01-02 16:30:00;79.2202484;0
162;2024-01-02 16:45:00;71.30606675;0
163;2024-01-02 17:00:00;83.21986173;0
164;2024-01-02 17:15:00;63.08147366;0
165;2024-01-02 17:30:00;83.9536345;0
166;2024-01-02 17:45:00;82.98289138;0
167;2024-01-02 18:00:00;81.90529731;0
168;2024-01-02 18:15:00;86.48853619;0
169;2024-01-02 18:30:00;62.53850097;0
170;2024-01-02 18:45:00;76.26504911;0
171;2024-01-02 19:00:00;64.12823628;0
172;2024-01-02 19:15:00;68.88671718;0
173;2024-01-02 19:30:00;70.60345845;0
174;2024-01-02 19:45:00;76.3147331;0
175;2024-01-02 20:00:00;56.28063026;0
176;2024-01-02 20:15:00;63.28319695;0
177;2024-01-02 20:30:00;60.85823989;0
178;2024-01-02 20:45:00;68.82216293;0
179;2024-01-02 21:00:00;75.97263285;0
180;2024-01-02 21:15:00;73.74165121;0
181;2024-01-02 21:30:00;73.996111;0
182;2024-01-02 21:45:00;55.19662062;0
