;Datetime;sg4_P;sg4_Q
120;2024-01-02 06:15:00;15.8079646;0
121;2024-01-02 06:30:00;15.35452846;0
122;2024-01-02 06:45:00;15.22462075;0
123;2024-01-02 07:00:00;15.14829071;0
124;2024-01-02 07:15:00;15.79512979;0
125;2024-01-02 07:30:00;15.31225644;0
126;2024-01-02 07:45:00;24.08468577;0
127;2024-01-02 08:00:00;43.21880502;0
128;2024-01-02 08:15:00;51.3873084;0
129;2024-01-02 08:30:00;50.77013629;0
130;2024-01-02 08:45:00;57.24173282;0
131;2024-01-02 09:00:00;63.60076111;0
132;2024-01-02 09:15:00;62.19811887;0
133;2024-01-02 09:30:00;59.28983653;0
134;2024-01-02 09:45:00;61.2961103;0
135;2024-01-02 10:00:00;62.21556117;0
136;2024-01-02 10:15:00;62.34532831;0
137;2024-01-02 10:30:00;52.54323415;0
138;2024-01-02 10:45:00;51.54441362;0
139;2024-01-02 11:00:00;51.21823622;0
140;2024-01-02 11:15:00;50.84548732;0
141;2024-01-02 11:30:00;42.82485388;0
142;2024-01-02 11:45:00;36.28991294;0
143;2024-01-02 12:00:00;34.71781405;0
144;2024-01-02 12:15:00;28.25479559;0
145;2024-01-02 12:30:00;27.68861618;0
146;2024-01-02 12:45:00;25.35452618;0
147;2024-01-02 13:00:00;21.38396587;0
148;2024-01-02 13:15:00;23.88802149;0
149;2024-01-02 13:30:00;22.44882509;0
150;2024-01-02 13:45:00;39.7839976;0
151;2024-01-02 14:00:00;43.95218864;0
152;2024-01-02 14:15:00;51.96290884;0
153;2024-01-02 14:30:00;54.81757916;0
154;2024-01-02 14:45:00;37.79289511;0
155;2024-01-02 15:00:00;28.47296513;0
156;2024-01-02 15:15:00;24.11684692;0
157;2024-01-02 15:30:00;18.75662844;0
158;2024-01-02 15:45:00;30.3267213;0
159;2024-01-02 16:00:00;31.74062662;0
160;2024-01-02 16:15:00;27.73160014;0
161;2024-01-02 16:30:00;21.09086638;0
162;2024-01-02 16:45:00;27.39206715;0
163;2024-01-02 17:00:00;27.76518614;0
164;2024-01-02 17:15:00;27.48589586;0
165;2024-01-02 17:30:00;27.23005458;0
166;2024-01-02 17:45:00;27.27928942;0
167;2024-01-02 18:00:00;27.87367604;0
168;2024-01-02 18:15:00;27.35342671;0
169;2024-01-02 18:30:00;27.4710544;0
170;2024-01-02 18:45:00;27.39200873;0
171;2024-01-02 19:00:00;27.3857058;0
172;2024-01-02 19:15:00;27.45422124;0
173;2024-01-02 19:30:00;27.40526532;0
174;2024-01-02 19:45:00;24.079969;0
175;2024-01-02 20:00:00;37.92011231;0
176;2024-01-02 20:15:00;37.39113043;0
177;2024-01-02 20:30:00;37.40370423;0
178;2024-01-02 20:45:00;38.47438598;0
179;2024-01-02 21:00:00;37.03962339;0
180;2024-01-02 21:15:00;19.55523132;0
181;2024-01-02 21:30:00;16.1436307;0
182;2024-01-02 21:45:00;17.04306511;0
183;2024-01-02 22:00:00;18.24751297;0
184;2024-01-02 22:15:00;20.24048516;0
185;2024-01-02 22:30:00;18.96584266;0
186;2024-01-02 22:45:00;16.0337665;0
187;2024-01-02 23:00:00;15.98061345;0
188;2024-01-02 23:15:00;15.92784532;0
189;2024-01-02 23:30:00;16.27135164;0
190;2024-01-02 23:45:00;16.14789608;0
191;2024-01-03 00:00:00;15.8359141;0
192;2024-01-03 00:15:00;15.80628946;0
193;2024-01-03 00:30:00;15.88684107;0
194;2024-01-03 00:45:00;16.15541387;0
195;2024-01-03 01:00:00;15.70116444;0
196;2024-01-03 01:15:00;15.8784408;0
197;2024-01-03 01:30:00;15.9265157;0
198;2024-01-03 01:45:00;16.30152083;0
199;2024-01-03 02:00:00;16.68444009;0
200;2024-01-03 02:15:00;15.87300531;0
201;2024-01-03 02:30:00;16.54211951;0
202;2024-01-03 02:45:00;15.71943185;0
203;2024-01-03 03:00:00;16.18486478;0
204;2024-01-03 03:15:00;15.85500367;0
205;2024-01-03 03:30:00;18.66374933;0
206;2024-01-03 03:45:00;19.96494152;0
207;2024-01-03 04:00:00;20.16216726;0
208;2024-01-03 04:15:00;18.14030504;0
209;2024-01-03 04:30:00;16.07008943;0
210;2024-01-03 04:45:00;16.92691912;0
211;2024-01-03 05:00:00;16.07695362;0
212;2024-01-03 05:15:00;17.05252494;0
213;2024-01-03 05:30:00;16.37645783;0
214;2024-01-03 05:45:00;18.19389368;0
215;2024-01-03 06:00:00;17.2326704;0
216;2024-01-03 06:15:00;6.976508776;0
217;2024-01-03 06:30:00;29.89288796;0
218;2024-01-03 06:45:00;45.15310077;0
219;2024-01-03 07:00:00;48.55319325;0
220;2024-01-03 07:15:00;53.25361878;0
221;2024-01-03 07:30:00;66.31065648;0
222;2024-01-03 07:45:00;79.2610267;0
223;2024-01-03 08:00:00;81.64870444;0
224;2024-01-03 08:15:00;73.60145252;0
225;2024-01-03 08:30:00;58.31463173;0
226;2024-01-03 08:45:00;80.04495112;0
227;2024-01-03 09:00:00;99.93619615;0
228;2024-01-03 09:15:00;81.41161132;0
229;2024-01-03 09:30:00;76.94526587;0
230;2024-01-03 09:45:00;75.06443157;0
231;2024-01-03 10:00:00;57.5440856;0
232;2024-01-03 10:15:00;64.50081442;0
